email,username,password
andi.pratama@gmail.com,andipratama99,KopiHitam123!
siti.aminah@yahoo.com,siti_amin,BungaMatahari#1
budi.santoso@perusahaan.id,budisantoso_dev,DevMaster2024
rina.wati@outlook.com,rinawati88,SecurePass!@#
joko.susilo@tech.net,joko_susilo,Ind0nesiaRaya
dewi.cahaya@studio.com,dewicahaya,LangitBiru55
eka.putra@kampus.ac.id,ekaputra_mhs,SkripsiLancar2025
tri.haryanto@logistik.co.id,tri_logistik,PaketCepatSampai
nina.zuhra@beauty.com,ninabeauty,SkincareRoutine1
bayu.nugraha@gaming.net,bayunugraha_game,GamerGanteng99

